day,lane,company,contact_name,title,email,website,city,state,segment,project_signal,source_url
6,public,EGH Architects,,,info@egh.ms,eleyguildhardy.com,Jackson,MS,architect,"info@egh.ms — Mississippi full-service design firm, offices Biloxi + Jackson (source: https://eleyguildhardy.com/contact/)",https://eleyguildhardy.com/contact/
1,public,ESG Architecture & Design,,,info@esgarch.com,esgarch.com,Minneapolis,MN,architect,info@esgarch.com published on About page,https://esgarch.com/about/
3,public,EW Howell Construction Group,,,info@ewhowell.com,ewhowell.com,Plainview,NY,gc,Lists info@ewhowell.com for general inquiries on contact page,https://ewhowell.com/contact/
4,public,EYRC Architects,,,info@eyrc.com,eyrc.com,San Francisco,CA,architect,info@eyrc.com listed on official company page: https://www.eyrc.com/contact,https://www.eyrc.com/contact
5,public,EZ Modern Homes,John Kyzar,Founder,info@ezmodernhomes.com,ezmodernhomes.com,Pensacola,FL,luxury_builder,info@ezmodernhomes.com — Veteran-owned fully custom home builder founded 2018; fixed-price custom homes across the Florida Panhandle (source: https://ezmodernhomes.com/about),https://ezmodernhomes.com/about
6,public,Eco Home Builders,,,info@ecohomebuildersinc.com,ecohomebuildersinc.com,San Diego,CA,gc,General contact email info@ecohomebuildersinc.com published on own contact page,https://www.ecohomebuildersinc.com/home-contractors-san-diego/
1,public,Eden Restorations,,,info@edenrestorations.com,edenrestorations.com,Santa Barbara,CA,gc,"info@edenrestorations.com — Licensed GC: remodels, historical restorations, new construction, ADUs; email published on company site (source: https://edenrestorations.com/)",https://edenrestorations.com/
2,public,Edmonds + Lee,,,info@edmondslee.com,edmondslee.com,San Francisco,CA,architect,info@edmondslee.com listed on official company page: https://www.edmondslee.com/contact,https://www.edmondslee.com/contact
3,public,Eldon Homes,,,info@eldonhomes.com,eldonhomes.com,Madison,WI,luxury_builder,info@eldonhomes.com listed on official company page: http://www.eldonhomes.com/home-building/,http://www.eldonhomes.com/home-building/
4,public,Eldridge Company LLC,,,info@eldridgecompany.com,eldridgecompany.com,Louisville,KY,gc,"info@eldridgecompany.com — Commercial remodeling contractor at 509 Barret Ave, Louisville KY (source: https://eldridgecompany.com/design-office/)",https://eldridgecompany.com/design-office/
5,public,Element Homes,,,info@constructelements.com,constructelements.com,La Jolla,CA,luxury_builder,"info@constructelements.com — Custom home builder in La Jolla; design-build team, dedicated project manager, live project tracking app (source: https://constructelements.com/location/la-jolla-custom-home-builder)",https://constructelements.com/location/la-jolla-custom-home-builder
6,public,Elemental Architecture,,,info@elementalnyc.com,elementalnyc.com,New York,NY,architect,info@elementalnyc.com listed on official company page: https://www.elementalnyc.com/tom-abraham-named-inaugural-enr-york-top-20-40/,https://www.elementalnyc.com/tom-abraham-named-inaugural-enr-york-top-20-40/
1,public,Elysian Homes,,,info@elysiansrq.com,elysiansrq.com,Sarasota,FL,luxury_builder,info@elysiansrq.com — General contact email published on company homepage (source: http://elysiansrq.com/),http://elysiansrq.com/
2,public,Envision Builders Inc,,,info@envision-builds.com,envision-builds.com,Renton,WA,gc,"info@envision-builds.com — Seattle-area design-build GC; multifamily, commercial, HOA repair (source: https://www.envision-builds.com/about)",https://www.envision-builds.com/about
4,public,Evolution General Contracting,,,info@evolutionli.com,evolutionli.com,Northport,NY,gc,info@evolutionli.com listed on official company page: https://www.evolutionli.com/,https://www.evolutionli.com/
6,public,FDC & Associates Corporation,,,Info@fdccorporation.com,fdccorporation.com,San Bernardino,CA,architect,Architectural/engineering firm in San Bernardino; Email: Info@fdccorporation.com published on company contact page,https://fdccorporation.com/about-us/contact/
1,public,FFA Architecture and Interiors,,,info@ffadesign.com,ffadesign.com,Portland,OR,architect,"Full-service design firm since 1956 (520 SW Yamhill, Portland); general inbox info@ffadesign.com published on company contact page",https://ffadesign.com/contact/
2,public,FRANKE,,,info@frankefranke.com,frankefranke.com,Austin,TX,architect,info@frankefranke.com — Austin design-build and architecture firm; general email on own contact page (source: https://frankefranke.com/contact/),https://frankefranke.com/contact/
4,public,Fifield Companies,,,info@fifieldco.com,fifieldco.com,Chicago,IL,developer,Lists info@fifieldco.com on contact page,https://www.fifieldco.com/contact/
6,public,First Community Housing,,,info@firsthousing.org,firsthousing.org,San Jose,CA,developer,info@firsthousing.org listed on official company page: https://www.firsthousing.org/career,https://www.firsthousing.org/career
2,public,Flansburgh Architects,,,info@flansburgh.com,flansburgh.com,Boston,MA,architect,Lists info@flansburgh.com on contact page,https://www.flansburgh.com/contact/
3,public,Florida Lifestyle Homes,,,info@flhfl.com,flhfl.com,Fort Myers,FL,luxury_builder,"info@flhfl.com — Preferred builder in SWFL premier luxury communities (Quail West, Naples Reserve, Treviso Bay, West Bay, Babcock Ranch) (source: https://flhfl.com/available-commercial-lots/)",https://flhfl.com/available-commercial-lots/
4,public,Flynn Battaglia Architects,,,info@flynnbattaglia.com,flynnbattaglia.com,Buffalo,NY,architect,info@flynnbattaglia.com listed on official company page: http://www.flynnbattaglia.com/,http://www.flynnbattaglia.com/
5,public,"Forum Architects, LLC",,,info@forumarchitectsllc.com,forumarchitectsllc.com,Mishawaka,IN,architect,info@forumarchitectsllc.com — General mailbox published on company contact page (source: https://forumarchitectsllc.com/contact/),https://forumarchitectsllc.com/contact/
6,public,Fox Chase Contracting,,,info@foxchasecontracting.com,foxchasecontracting.com,Flemington,NJ,gc,info@foxchasecontracting.com listed on official company page: https://foxchasecontracting.com/,https://foxchasecontracting.com/
1,public,Framework E,,,info@framework-e.com,framework-e.com,Detroit,MI,architect,info@framework-e.com — Detroit architecture firm focused on community-driven projects (source: https://www.framework-e.com/contact-us),https://www.framework-e.com/contact-us
2,public,Frank Schipper Construction Company,,,info@schipperconstruction.com,schipperconstruction.com,Santa Barbara,CA,gc,info@schipperconstruction.com — Own bid pages publish info@; active bid projects include SB MTD Transit Center renovation and 89-unit Gardens on Hope senior housing (source: https://www.schipperconstruction.com/subcontractor-center-bids/2018/11/15/sb-mtd-transit-center-renovation),https://www.schipperconstruction.com/subcontractor-center-bids/2018/11/15/sb-mtd-transit-center-renovation
4,public,Furman + Keil Architects,,,hello@fkarchitects.net,fkarchitects.net,Austin,TX,architect,hello@fkarchitects.net — Austin architecture firm; general email published on own contact page (source: http://www.FKarchitects.net/contact),http://www.FKarchitects.net/contact
5,public,GF55 Architects,,,info@gf55.com,gf55.com,New York,NY,architect,Lists info@gf55.com for New York office on contact page,https://GF55.com/Contact.html
6,public,GNP Realty Partners,,,info@gnprealty.com,gnprealty.com,Chicago,IL,developer,info@gnprealty.com listed on official company page: https://www.gnprealty.com/contact/,https://www.gnprealty.com/contact/
1,public,GSB Inc.,,,gsb@gsb-inc.com,gsb-inc.com,Oklahoma City,OK,architect,gsb@gsb-inc.com listed on official company page: https://www.gsb-inc.com/contact,https://www.gsb-inc.com/contact
2,public,GSBS Architects,,,contact@gsbsarchitects.com,gsbsarchitects.com,Salt Lake City,UT,architect,"contact@gsbsarchitects.com — contact@ published on firm contact page; 375 W 200 S Ste 100, SLC; also Fort Worth office (source: https://gsbsarchitects.com/contact)",https://gsbsarchitects.com/contact
4,public,Garvey Homes,,,info@garveyhomes.com,garveyhomes.com,Dallas,TX,luxury_builder,"info@garveyhomes.com — Dallas custom homebuilder since 1984; fine architectural detail, DFW metroplex (source: https://www.garveyhomes.com/)",https://www.garveyhomes.com/
5,public,Gast Architects,,,info@gastarchitects.com,gastarchitects.com,San Francisco,CA,architect,info@gastarchitects.com listed on official company page: http://www.gastarchitects.com/,http://www.gastarchitects.com/
6,public,Gehrtz Construction Services,,,info@gcs-fm.com,gehrtzconstructionservices.com,Fargo,ND,gc,"info@gcs-fm.com — Fargo construction management/GC (multi-family, healthcare, education); info@ published on company site (source: https://www.gehrtzconstructionservices.com/projects/)",https://www.gehrtzconstructionservices.com/projects/
1,public,Gerard Construction,,,info@gerard-construction.com,gerard-construction.com,College Station,TX,luxury_builder,info@gerard-construction.com — Custom home builder Bryan/College Station; new construction gallery (source: http://gerard-construction.com/project-gallery/new-construction),http://gerard-construction.com/project-gallery/new-construction
2,public,Gilday Renovations,,,info@gilday.com,gilday.com,Silver Spring,MD,luxury_builder,Company site publishes info@gilday.com; design-build remodeling firm in Silver Spring,https://www.gilday.com/architectural-design
3,public,Gossen Signature Homes,,,info@gossenhomes.com,gossenhomes.com,Springfield,MO,luxury_builder,info@gossenhomes.com — Custom home builder serving Branson and greater Springfield MO; info@ published in company privacy policy (source: https://gossenhomes.com/privacy-policy/),https://gossenhomes.com/privacy-policy/
4,public,Graphite Design Group,,,info@graphitedesigngroup.com,graphitedesigngroup.com,Seattle,WA,architect,info@graphitedesigngroup.com — Seattle design firm (Amazon Frontier 540k SF); Contact page publishes info@ for inquiries (source: https://graphitedesigngroup.com/contact),https://graphitedesigngroup.com/contact
5,public,GreenTech Homes,,,sales@greentechbuild.com,greentech.homes,Chattanooga,TN,developer,sales@greentechbuild.com published on company about page,https://www.greentech.homes/about
1,public,GuernseyTingle,,,info@guernseytingle.com,guernseytingle.com,Williamsburg,VA,architect,Contact page publishes info@guernseytingle.com; architecture firm in Williamsburg VA,https://guernseytingle.com/contact/
3,public,H&H Builds,,,info@handhbuilds.com,handhbuilds.com,Sacramento,CA,luxury_builder,info@handhbuilds.com listed on official company page: https://handhbuilds.com/about-sacramento-home-builder-remodeler-contractor-h-and-h-builds,https://handhbuilds.com/about-sacramento-home-builder-remodeler-contractor-h-and-h-builds
4,public,H3 Hardy Collaboration Architecture,,,info@h3hc.com,h3hc.com,New York,NY,architect,Lists info@h3hc.com on contact page,https://www.h3hc.com/contact/
5,public,HBG Design,,,info@hbg.design,hbg.design,Memphis,TN,architect,Architecture and design firm with Memphis office at One Commerce Square; Connect page publishes info@hbg.design for project inquiries,https://hbg.design/connect/
6,public,HDG Architecture,,,info@studiohdg.com,hdg-architecture.com,Spokane,WA,architect,Spokane architecture firm; info@studiohdg.com on contact page,https://hdg-architecture.com/contact/
1,public,HHL Architects,,,info@hhlarchitects.com,hhlarchitects.com,Buffalo,NY,architect,info@hhlarchitects.com — info@ published on own contact page with Buffalo address (source: https://hhlarchitects.com/contact/),https://hhlarchitects.com/contact/
3,public,Hammer & Hand,,,info@hammerandhand.com,hammerandhand.com,Portland,OR,luxury_builder,info@hammerandhand.com — High-performance green builder (Portland/Seattle); privacy policy publishes info@ for customer help (source: https://hammerandhand.com/privacy-policy/),https://hammerandhand.com/privacy-policy/
6,public,Hearthside Homes,,,info@hearthside-kc.com,hearthsidekc.com,Kansas City,MO,luxury_builder,"info@hearthside-kc.com — KC-area home builder (Liberty, MO); info@ published for questions about home building process (source: https://hearthsidekc.com/prairie-field-subdivision-liberty-missouri/)",https://hearthsidekc.com/prairie-field-subdivision-liberty-missouri/
2,public,Heritage Builders of West Florida,,,info@heritagebuilderswfl.com,heritagebuilderswfl.com,Sarasota,FL,luxury_builder,info@heritagebuilderswfl.com — General contact email published on company website (source: http://www.heritagebuilderswfl.com/sarasota-custom-home-blog?offset=1646233140501),http://www.heritagebuilderswfl.com/sarasota-custom-home-blog?offset=1646233140501
3,public,Herlong Architects + Interiors,,,info@herlongarchitects.com,herlongarchitects.com,Charleston,SC,architect,info@herlongarchitects.com — Architecture + interiors firm serving Charleston/Sullivan's Island/Daniel Island/Kiawah; contact email published on company website (contact footer) (source: https://www.herlongarchitects.com/blog/benefits-of-an-architecture-firm-with-in-house-interior-design),https://www.herlongarchitects.com/blog/benefits-of-an-architecture-firm-with-in-house-interior-design
4,public,Hibbs Luxury Homes,,,info@hibbshomes.com,hibbshomesusa.com,St. Louis,MO,luxury_builder,"info@hibbshomes.com — St. Louis luxury custom home builder (Chesterfield, MO); info@ published on company locations page (source: https://www.hibbshomesusa.com/locations/st-louis-home-builders)",https://www.hibbshomesusa.com/locations/st-louis-home-builders
5,public,Highland Custom Homes,,,info@highlandhomesutah.com,highlandcustomhomes.com,Park City,UT,luxury_builder,info@highlandhomesutah.com — Luxury custom home builder in Park City; general info@ mailbox on own contact page (source: https://www.highlandcustomhomes.com/contact-us/),https://www.highlandcustomhomes.com/contact-us/
1,public,"Hobbs, Inc.",,,info@hobbsinc.com,hobbsinc.com,Bridgehampton,NY,luxury_builder,Hamptons office at 2273 Montauk Hwy; info@hobbsinc.com published on own site; oceanfront/village houses Southampton to Montauk,https://hobbsinc.com/the-hamptons/
4,public,Holst Architecture,,,mail@holstarc.com,holstarc.com,Portland,OR,architect,"mail@holstarc.com — Portland and Minneapolis architecture firm; affordable and market-rate housing, mixed-use; Broadway Corridor Parcel 4A mass-timber affordable housing (source: https://www.holstarc.com/contact/)",https://www.holstarc.com/contact/
5,public,Home By Tom,,,Info@homebytom.com,homebytom.com,Walnut Creek,CA,gc,Info@homebytom.com listed on official company page: https://homebytom.com/contact/,https://homebytom.com/contact/
6,public,Housing Authority of the City of Santa Barbara,,,info@hacsb.org,hacsb.org,Santa Barbara,CA,developer,info@hacsb.org — Own staff directory publishes info@; Jacaranda Court 63-unit affordable housing begins construction late Dec 2025/early Jan 2026 (source: https://hacsb.org/aboutus/staff-directory/),https://hacsb.org/aboutus/staff-directory/
1,public,Hudson Meridian Construction Group,,,info@hudsonmeridian.com,hudsonmeridian.com,New York,NY,gc,Lists info@hudsonmeridian.com in company prequalification form,https://www.hudsonmeridian.com/wp-content/uploads/2019/10/hm-77-subcontractor-prequal-form.pdf62b8ca85.pdf
2,public,"Huff Construction Company, Inc.",,,info@huffcon.com,huffcon.com,Modesto,CA,gc,info@huffcon.com listed on official company page: https://www.huffcon.com/affordable-housing-contractor/,https://www.huffcon.com/affordable-housing-contractor/
3,public,Huffines Communities,,,info@huffinescommunities.com,huffinescommunities.com,Dallas,TX,developer,"info@huffinescommunities.com — Active master-planned communities across DFW: Solterra (Mesquite, 1,400 acres), Inspiration (Wylie), Waterscape (Royse City); Phase 3B lots delivered and final Phase 4 construction underway at Waterscape. (source: https://huffinescommunities.com/contact/)",https://huffinescommunities.com/contact/
4,public,Hulbert Homes,Mark Hulbert,President/Visionary,info@hulberthomes.com,hulberthomes.com,Lakeland,FL,luxury_builder,"info@hulberthomes.com — Parade of Homes custom builder — $1.4M+ custom homes (Rio Vista II, Heritage Lakes); Lakeland HQ (source: https://hulberthomes.com/our-team)",https://hulberthomes.com/our-team
5,public,Hummel Architects,,,info@hummelarchitects.com,hummelarchitects.com,Bainbridge Island,WA,architect,Bainbridge Island WA architecture firm; own contact page publishes info@hummelarchitects.com,https://www.hummelarchitects.com/contact
6,public,Hurricane Builders,,,info@hurricanebuilders.com,hurricanebuilders.com,Columbia,SC,luxury_builder,info@hurricanebuilders.com — Published info@ inbox on company blog; West Columbia SC homebuilder (source: https://hurricanebuilders.com/blog/hurricane-builders-recognized-as-top-builder-by-the-building-industry-association-of-central-south-carolina),https://hurricanebuilders.com/blog/hurricane-builders-recognized-as-top-builder-by-the-building-industry-association-of-central-south-carolina
2,public,I-Beam Design,,,info@i-beamdesign.com,i-beamdesign.com,Brooklyn,NY,architect,info@i-beamdesign.com listed on official company page: https://www.i-beamdesign.com/contact-new-york-architecture-designer,https://www.i-beamdesign.com/contact-new-york-architecture-designer
3,public,IKM Architecture,,,media@ikminc.com,ikminc.com,Pittsburgh,PA,architect,Own contact page labels media@ikminc.com under 'General Inquiries'; Pittsburgh HQ 11 Stanwix St Ste 2200,https://ikminc.com/contact-us/
4,public,INTOTO Studio,,,info@intotostudio.com,intotostudio.com,Detroit,MI,architect,info@intotostudio.com — Architecture firm serving Detroit Ann Arbor and Madison; new projects contact (source: https://www.intotostudio.com/contact),https://www.intotostudio.com/contact
6,public,Integrus Architecture,,,info@integrusarch.com,integrusarch.com,Spokane,WA,architect,"info@integrusarch.com — Spokane-founded 1953 firm (92 staff) with Seattle + Portland offices; K-12, higher-ed, civic, justice and embassy work; merged with Portland YGH Architecture 2022 (source: https://integrusarch.com/architecture-careers/)",https://integrusarch.com/architecture-careers/
2,public,Intertech Architectural Interiors,,,erinh@intertecharchitecture.com,intertecharchitecture.com,Tucson,AZ,architect,erinh@intertecharchitecture.com listed on official company page: https://intertecharchitecture.com/projects/restaurant-hospitality/,https://intertecharchitecture.com/projects/restaurant-hospitality/
3,public,Irwin & Leighton,,,info@irwinleighton.com,irwinleighton.com,King of Prussia,PA,gc,info@irwinleighton.com listed on official company page: https://irwinleighton.com/contact-us/,https://irwinleighton.com/contact-us/
4,public,J.I. Garcia Construction,,,info@jigarcia.com,jigarcia.com,Fresno,CA,gc,info@jigarcia.com listed on official company page: https://www.jigarcia.com/company-data,https://www.jigarcia.com/company-data
5,public,J.S. Brown & Co.,,,info@jsbrowncompany.com,jsbrowncompany.com,Columbus,OH,gc,info@jsbrowncompany.com — Remodeling contractor serving Central Ohio (source: https://jsbrowncompany.com/contact-us/),https://jsbrowncompany.com/contact-us/
6,public,J.S. Robinson Fine Homes,,,info@jsrobinson.com,jsrobinson.com,Shawnee,KS,luxury_builder,info@jsrobinson.com — KC-metro luxury custom home builder (30+ years); info@ published on company contact page (source: https://jsrobinson.com/contact/),https://jsrobinson.com/contact/
1,public,JAKS Construction,,,info@jaks.construction,jaks.construction,Wichita,KS,gc,"info@jaks.construction — Wichita general contractor (commercial + residential, in-house millwork shop); info@ published on company contact page (source: https://jaks.construction/)",https://jaks.construction/
2,public,JD Caldwell Architect,,,info@jdcaldwellarchitect.com,jdcaldwellarchitect.com,Memphis,TN,architect,info@jdcaldwellarchitect.com listed on official company page: https://www.jdcaldwellarchitect.com/contact,https://www.jdcaldwellarchitect.com/contact
3,public,JDB Builders Inc,,,info@jdb-builders.com,jdb-builders.com,Riverside,CA,gc,"info@jdb-builders.com — General contractor with Riverside, Los Angeles, San Diego offices (source: https://jdb-builders.com/contactus/)",https://jdb-builders.com/contactus/
5,public,JSA Design,,,info@jsainc.com,jsainc.com,Portsmouth,NH,architect,Lists info@jsainc.com on project page,https://jsainc.com/work/mixed-use/
2,public,"James & Associates Residential Designers, LLC",,,boroplans@gmail.com,boroplans.com,Murfreesboro,TN,architect,boroplans@gmail.com published on company homepage,http://www.boroplans.com/
4,public,Jeff Shelton Architect,,,info@jeffsheltonarchitect.com,jeffsheltonarchitect.com,Santa Barbara,CA,architect,"info@jeffsheltonarchitect.com — Whimsical SB architect; 60+ residential/commercial/mixed-use projects incl. Ablitt Tower, El Andaluz (source: https://www.jeffsheltonarchitect.com/contact)",https://www.jeffsheltonarchitect.com/contact
5,public,Jensen Architects,,,info@jensen-architects.com,jensen-architects.com,San Francisco,CA,architect,info@jensen-architects.com listed on official company page: https://jensen-architects.com/contact/,https://jensen-architects.com/contact/
6,public,Johnston Architects,,,studio@johnstonarchitects.com,johnstonarchitects.com,Seattle,WA,architect,"Seattle architecture firm (residential, multifamily, commercial); general email studio@johnstonarchitects.com listed on company contact page",https://www.johnstonarchitects.com/connect
1,public,KM Builders,,,friends@kmbuilders.com,kmbuilders.com,San Antonio,TX,luxury_builder,friends@kmbuilders.com — San Antonio remodeling company; general email published on own contact page (source: https://kmbuilders.com/contactus-2),https://kmbuilders.com/contactus-2
2,public,KOAL,,,contact@koalpllc.com,koalpllc.com,Gilford,NH,architect,Lists contact@koalpllc.com in project PDF,https://koalpllc.com/wp-content/uploads/2026/02/Yacht-Club-Vista-Victorian-Renovations.pdf
3,public,KOO,,,office@kooarchitecture.com,kooarchitecture.com,Chicago,IL,architect,office@kooarchitecture.com listed on official company page: http://kooarchitecture.com/people/,http://kooarchitecture.com/people/
4,public,Kass Construction,,,BuildWith@KassConstruction.com,kassconstruction.com,Fort Lauderdale,FL,luxury_builder,BuildWith@KassConstruction.com — BuildWith@ published on contact page; waterfront custom homes on Intracoastal and barrier islands (source: https://kassconstruction.com/about/),https://kassconstruction.com/about/
5,public,Keel Custom Homes,,,info@kchva.com,kchva.com,Richmond,VA,luxury_builder,Own-site contact page publishes info@kchva.com; custom home builder serving Richmond & Central VA,https://kchva.com/
1,public,Keith Wing Custom Builders,,,sales@keithwing.com,keithwing.com,New Braunfels,TX,luxury_builder,sales@keithwing.com — Dirt-up custom builder since 2014; waterfront & build-on-your-lot; New Braunfels/Hill Country (source: https://www.keithwing.com/paradise-parkway-1),https://www.keithwing.com/paradise-parkway-1
2,public,KinCo Construction,,,info@kincoconstruction.com,kincoconstruction.com,Bakersfield,CA,gc,info@kincoconstruction.com — General contractor; 35 yrs commercial/residential experience; Lic. info on own site; info@ published on own contact page (source: https://kincoconstruction.com/request-quote/),https://kincoconstruction.com/request-quote/
3,public,KlausSmithDesign Studio,,,Info@KlausSmithDesignSTUDIO.com,klaussmithdesignstudio.com,Tampa,FL,architect,Info@KlausSmithDesignSTUDIO.com — Woman-owned Tampa architecture and planning studio; general email published on its own site; qualifying agent Susan R. KlausSmith RA AIA (source: https://www.klaussmithdesignstudio.com/),https://www.klaussmithdesignstudio.com/
5,public,Krusinski Construction Company,,,info@krusinski.com,krusinski.com,Oak Brook,IL,gc,info@krusinski.com listed on official company page: https://www.krusinski.com/contact/,https://www.krusinski.com/contact/
1,public,L2 Studios,,,Info@L2studios.com,l2studios.com,Orlando,FL,architect,Info@L2studios.com — Orlando architecture and interior design firm; general-inquiries email published on its own Contact page (source: http://www.l2studios.com/contact),http://www.l2studios.com/contact
2,public,LA DALLMAN,,,info@ladallman.com,ladallman.com,Milwaukee,WI,architect,info@ladallman.com listed on official company page: https://www.ladallman.com/contact,https://www.ladallman.com/contact
3,public,LDA Partners,,,info@ldapartners.com,ldapartners.com,Stockton,CA,architect,info@ldapartners.com — 20-person Central Valley architecture firm; Stockton HQ + Sacramento office; email published on company about page (source: https://www.ldapartners.com/about/),https://www.ldapartners.com/about/
5,public,LHP Architects,,,info@lhparch.com,lhparch.com,Manhattan,NY,architect,info@lhparch.com published on lhparch.com contact page,https://www.lhparch.com/contact
6,public,LaTerra Development,,,Contact@LaTerraDev.com,laterradev.com,Irving,TX,developer,"Contact@LaTerraDev.com — Irving (Las Colinas): 19.5-acre former Fry's Electronics site at 2488 Market Place Blvd; 161,250-SF self-storage conversion + 34,000 SF RV/boat storage; sold H-E-B its first Dallas County store site next door (source: https://laterradev.com/laterra-self-storage-project-also-brings-first-h-e-b-store-in-dallas-county/)",https://laterradev.com/laterra-self-storage-project-also-brings-first-h-e-b-store-in-dallas-county/
1,public,Landmark Architectural Design,,,info@landmarkaia.com,landmarkaia.com,Philadelphia,PA,architect,info@landmarkaia.com published on firm's own contact page,https://landmarkaia.com/contact
3,public,Landry/French Construction,,,info@landryfrenchconstruction.com,landryfrenchconstruction.com,Scarborough,ME,gc,info@landryfrenchconstruction.com — General info@ inbox visibly published on company contact page (source: https://landryfrenchconstruction.com/contact/),https://landryfrenchconstruction.com/contact/
4,public,Langford Homes,Chad Langford,Owner,info@langfordhomes.net,langfordhomes.net,Lakeland,FL,luxury_builder,"info@langfordhomes.net — Family-owned luxury custom home builder; owners Chuck and Chad Langford, Certified General Contractors (source: https://www.langfordhomes.net)",https://www.langfordhomes.net
5,public,Lark Interiors,,,hello@larkinteriorstx.com,larkinteriorstx.com,Coppell,TX,gc,hello@larkinteriorstx.com published in firm's Info & Hours block; Coppell design-build firm,https://www.larkinteriorstx.com/design-build-firm-dallas
6,public,Lauren Homes,Fred Price,Founder,Info@Lauren-Homes.com,lauren-homes.com,Cape Coral,FL,luxury_builder,Info@Lauren-Homes.com — Cape Coral on-your-lot custom builder founded 2013; storm-resistant custom homes across SWFL (source: https://lauren-homes.com/contact-us/),https://lauren-homes.com/contact-us/
2,public,"Lee Builders, Inc.",,,info@leebuilders.com,leebuilders.com,Huntsville,AL,gc,"info@leebuilders.com — Commercial GC since 1984; $20-50M annual volume; Huntsville City Schools, Joe Davis Stadium renovation (source: https://www.leebuilders.com/contact.php)",https://www.leebuilders.com/contact.php
3,public,Lehrer Architects,,,architect@lehrerarchitects.com,lehrerarchitects.com,Los Angeles,CA,architect,architect@lehrerarchitects.com listed on official company page: https://www.lehrerarchitects.com/contact,https://www.lehrerarchitects.com/contact
4,public,Lettire Construction,,,info@lettire.com,lettire.com,New York,NY,gc,Lists info@lettire.com on contact page,https://lettire.com/contact/
5,public,Levite Construction Co,,,info@leviteconstruction.com,seattleconstructionco.com,Seattle,WA,gc,info@leviteconstruction.com — Design-build GC; residential and commercial Puget Sound work (source: https://seattleconstructionco.com/kitchen-bathroom-remodeling-and-general-contractor-services/),https://seattleconstructionco.com/kitchen-bathroom-remodeling-and-general-contractor-services/
6,public,Lifestyle Development Group,,,info@lifestyledevgroup.com,lifestyledevgroup.com,Estero,FL,luxury_builder,"info@lifestyledevgroup.com — Design-led luxury home builder & developer in Southwest Florida; in-house design, land planning, owner representation (source: https://lifestyledevgroup.com/)",https://lifestyledevgroup.com/
1,public,Limitless Homes,,,info@llhomestx.com,llhomestx.com,Houston,TX,luxury_builder,info@llhomestx.com — Houston remodeler and custom home builder; general email on own contact page (source: https://www.llhomestx.com/contact),https://www.llhomestx.com/contact
2,public,Liollio Architecture,,,mez@liollio.com,liollio.com,Charleston,SC,architect,"70-year-old Charleston firm: sustainable architecture, interior design, and historic preservation for public projects; mez@liollio.com is the contact email published in the site footer across the company website",https://www.liollio.com/news/2016/4/25/new-central-hall-at-charleston-international-airport
3,public,Loudermilk Homes,,,info@loudermilkhomes.com,loudermilkhomes.com,Atlanta,GA,luxury_builder,info@loudermilkhomes.com — Published info@ inbox on company contact page; 2025 Luxury Lifestyle Award winner (source: https://www.loudermilkhomes.com/contact-us),https://www.loudermilkhomes.com/contact-us
4,public,"M&M Custom Construction, LLC",,,office@mmcustomconst.com,mmcustomconst.com,Wichita,KS,luxury_builder,office@mmcustomconst.com — Wichita custom home builder; office@ listed as preferred email on company about page (source: https://www.mmcustomconst.com/about),https://www.mmcustomconst.com/about
5,public,MB&D (Michaelis Build & Development),,,info@buildwithmbd.com,buildwithmbd.com,Salt Lake City,UT,luxury_builder,Salt Lake & Park City custom home builder; own site publishes info@buildwithmbd.com; 2026 projects incl. Italian Mod Estate,https://buildwithmbd.com/
1,public,MG2,,,info@mg2.com,mg2.com,Seattle,WA,architect,Seattle-headquartered global architecture and design firm (8 offices); Info@MG2.com published on company Contact/Terms pages,https://mg2.com/terms-of-use/
2,public,MHK Architecture,,,florida@mhkarchitecture.com,mhkarchitecture.com,Naples,FL,architect,florida@mhkarchitecture.com — Florida office email published on company contact page (source: https://mhkarchitecture.com/contact/),https://mhkarchitecture.com/contact/
5,public,Manning Squires Hennig,,,info@mshco.com,mshco.com,Buffalo,NY,gc,"info@mshco.com — Full-service general contractor with Buffalo satellite office; serves education, manufacturing and medical sectors (source: http://www.mshco.com/contact)",http://www.mshco.com/contact
6,public,Marrcon Development Corp,,,info@marrcon.com,marrcon.com,Mattituck,NY,luxury_builder,"info@marrcon.com — Luxury residential builder, North Fork/Hamptons/North Shore LI; ground-up custom & spec homes (source: http://marrcon.com/)",http://marrcon.com/
1,public,Marwood Construction,,,info@marwoodconstruction.com,marwoodconstruction.com,Houston,TX,luxury_builder,info@marwoodconstruction.com — Luxury home design/build; CEO Patrick Martin; contact email published on own site (source: https://www.marwoodconstruction.com/luxury-home-design-architecture-houston-2/),https://www.marwoodconstruction.com/luxury-home-design-architecture-houston-2/
2,public,MatPel Builders,,,info@matpelbuilders.com,matpelbuilders.com,San Francisco,CA,luxury_builder,info@matpelbuilders.com listed on official company page: https://matpelbuilders.com/contact/,https://matpelbuilders.com/contact/
3,public,Matt Fajkus Architecture,,,info@mfarchitecture.com,mfarchitecture.com,Austin,TX,architect,info@mfarchitecture.com — Published general email on company contact page; sustainable residential and commercial architects (source: http://mfarchitecture.com/contact),http://mfarchitecture.com/contact
